U+F9F4	林	mumu
U+F9F5	淋	shuilin
U+F9F6	臨	chenpin
U+F9F7	立	li
U+F9F8	笠	zhuli
U+F9F9	粒	mili
U+F9FA	狀	panquan
U+F9FB	炙	yuehuo
U+F9FC	識	yanzhi
U+F9FD	什	renshi
U+F9FE	茶	caomu
U+F9FF	刺	cidao
U+FA00	切	qidao
U+FA01	度	guangyou
U+FA02	拓	shoushi
U+FA03	糖	mitang
U+FA04	宅	gaituo
U+FA05	洞	shuitong
U+FA06	暴	rishui
U+FA07	輻	chefu
U+FA08	行	renchu
U+FA09	降	erjiang
U+FA0A	見	muer
U+FA0B	廓	guangguo
U+FA0C	兀	henger
U+FA0D	嗀	kekou
U+FA0E	﨎	wenyou
U+FA0F	﨏	tugu
U+FA10	塚	tuzhong
U+FA11	﨑	shanke
U+FA12	晴	riqing
U+FA13	﨓	mufu
U+FA14	﨔	muju
U+FA15	凞	shuixi
U+FA16	猪	quanzhe
U+FA17	益	bamin
U+FA18	礼	shiyi
U+FA19	神	shishen
U+FA1A	祥	shiyang
U+FA1B	福	shifu
U+FA1C	靖	liqing
U+FA1D	精	miqing
U+FA1E	羽	xixi
U+FA1F	﨟	caohe
U+FA20	蘒	caogui
U+FA21	﨡	chongsheng
U+FA22	諸	yanzhe
U+FA23	﨣	zoudou
U+FA24	﨤	zouji
U+FA25	逸	zoutu
U+FA26	都	zheer
U+FA27	﨧	jinxiao
U+FA28	﨨	jinxing
U+FA29	﨩	erdao
U+FA2A	飯	shifan
U+FA2B	飼	shisi
U+FA2C	館	shiguan
U+FA2D	鶴	gainiao
U+FA2E	郞	lianger
U+FA2F	隷	shili
U+FA30	侮	renmei
U+FA31	僧	renzeng
U+FA32	免	daoer
U+FA33	勉	mianli
U+FA34	勤	jinli
U+FA35	卑	baishi
U+FA36	喝	kouhe
U+FA37	嘆	koujin
U+FA38	器	kouquan
U+FA39	塀	tuping
U+FA3A	墨	heitu
U+FA3B	層	shizeng
U+FA3C	屮	cao
U+FA3D	悔	xinmei
U+FA3E	慨	xinji
U+FA3F	憎	xinzeng
U+FA40	懲	zhengxin
U+FA41	敏	meiwen
U+FA42	既	genji
U+FA43	暑	rizhe
