U+34EA	㓪	liangdao
U+34EB	㓫	dadao
U+34EC	㓬	quandao
U+34ED	㓭	hedao
U+34EE	㓮	zhoudao
U+34EF	㓯	chuandao
U+34F0	㓰	huadao
U+34F1	㓱	yudao
U+34F2	㓲	biandao
U+34F3	㓳	shidao
U+34F4	㓴	erdao
U+34F5	㓵	edao
U+34F6	㓶	qidao
U+34F7	㓷	niedao
U+34F8	㓸	yadao
U+34F9	㓹	changdao
U+34FA	㓺	qiandao
U+34FB	㓻	sidao
U+34FC	㓼	mudao
U+34FD	㓽	chongdao
U+34FE	㓾	xidao
U+34FF	㓿	shudao
U+3500	㔀	jingdao
U+3501	㔁	dengdao
U+3502	㔂	lindao
U+3503	㔃	juedao
U+3504	㔄	sudao
U+3505	㔅	sudao
U+3506	㔆	jidao
U+3507	㔇	fadao
U+3508	㔈	caodao
U+3509	㔉	shudao
U+350A	㔊	dandao
U+350B	㔋	jiandao
U+350C	㔌	judao
U+350D	㔍	suandao
U+350E	㔎	xuedao
U+350F	㔏	leidao
U+3510	㔐	zhudao
U+3511	㔑	xuedao
U+3512	㔒	cuidao
U+3513	㔓	qianli
U+3514	㔔	jiayi
U+3515	㔕	qili
U+3516	㔖	jiayi
U+3517	㔗	fuli
U+3518	㔘	chuli
U+3519	㔙	bingli
U+351A	㔚	sheli
U+351B	㔛	jili
U+351C	㔜	fuli
U+351D	㔝	liangli
U+351E	㔞	guaili
U+351F	㔟	shengli
U+3520	㔠	heli
U+3521	㔡	xinli
U+3522	㔢	jueli
U+3523	㔣	tianli
U+3524	㔤	shenli
U+3525	㔥	bali
U+3526	㔦	yangli
U+3527	㔧	luli
U+3528	㔨	baobei
U+3529	㔩	baohe
U+352A	㔪	baolu
U+352B	㔫	hengbi
U+352C	㔬	bizao
U+352D	㔭	bishi
U+352E	㔮	jinneng
U+352F	㔯	kuangkou
U+3530	㔰	kuangwai
U+3531	㔱	kuangyu
U+3532	㔲	kuangjiu
U+3533	㔳	kuangji
U+3534	㔴	kuangyi
U+3535	㔵	kuangxun
U+3536	㔶	kuanggan
U+3537	㔷	kuangbing
U+3538	㔸	kuanghu
U+3539	㔹	shili
U+353A	㔺	shiyi
U+353B	㔻	bushi
U+353C	㔼	tuishi
U+353D	㔽	zhankou
U+353E	㔾	yiyi
U+353F	㔿	hengjiu
U+3540	㕀	youfan
U+3541	㕁	chaer
U+3542	㕂	changjin
U+3543	㕃	changkai
U+3544	㕄	changyao
U+3545	㕅	changjia
U+3546	㕆	changgu
U+3547	㕇	changli
U+3548	㕈	changyi
U+3549	㕉	changhe
U+354A	㕊	changfu
U+354B	㕋	changjin
U+354C	㕌	changde
U+354D	㕍	changzhui
U+354E	㕎	changhe
U+354F	㕏	changdou
U+3550	㕐	changhuo
U+3551	㕑	changcun
U+3552	㕒	changyi
U+3553	㕓	changmo
U+3554	㕔	changting
U+3555	㕕	sisi
U+3556	㕖	simu
U+3557	㕗	yangsi
U+3558	㕘	sixiao
U+3559	㕙	juntu
U+355A	㕚	chadian
U+355B	㕛	youyou
U+355C	㕜	zhongyou
U+355D	㕝	guyou
U+355E	㕞	shiyou
U+355F	㕟	buyou
U+3560	㕠	zhunyou
U+3561	㕡	buyou
U+3562	㕢	buyou
U+3563	㕣	bakou
U+3564	㕤	koujiu
U+3565	㕥	kouren
U+3566	㕦	kouda
U+3567	㕧	koushi
U+3568	㕨	koufan
U+3569	㕩	koufeng
U+356A	㕪	kouyin
U+356B	㕫	koufang
U+356C	㕬	kougong
U+356D	㕭	kouyao
U+356E	㕮	koufu
U+356F	㕯	neikou
U+3570	㕰	koumao
U+3571	㕱	kouyou
U+3572	㕲	koumu
U+3573	㕳	kouxiong
U+3574	㕴	kourong
U+3575	㕵	kouwang
U+3576	㕶	kouwu
U+3577	㕷	koubai
U+3578	㕸	kouli
U+3579	㕹	kouba
U+357A	㕺	koukao
U+357B	㕻	dianfou
U+357C	㕼	kouxiong
U+357D	㕽	kouyi
U+357E	㕾	xiaochi
U+357F	㕿	hekou
U+3580	㖀	kouyu
U+3581	㖁	kouhong
U+3582	㖂	kouye
U+3583	㖃	kouhou
U+3584	㖄	kouzhou
U+3585	㖅	kouxu
U+3586	㖆	kouqu
U+3587	㖇	kouer
U+3588	㖈	laokou
U+3589	㖉	kouqi
U+358A	㖊	kouxun
U+358B	㖋	jiechi
U+358C	㖌	chouchi
U+358D	㖍	douchi
U+358E	㖎	chijie
U+358F	㖏	koutu
U+3590	㖐	kouyin
U+3591	㖑	koujie
U+3592	㖒	koudi
U+3593	㖓	koufeng
U+3594	㖔	koutun
U+3595	㖕	kouxin
U+3596	㖖	xinkou
U+3597	㖗	koujin
U+3598	㖘	kouchen
U+3599	㖙	jiachi
U+359A	㖚	fuchi
U+359B	㖛	guchi
U+359C	㖜	erchi
U+359D	㖝	weichi
U+359E	㖞	kouguo
U+359F	㖟	koushou
U+35A0	㖠	kounai
U+35A1	㖡	kouye
U+35A2	㖢	kouci
U+35A3	㖣	koupou
U+35A4	㖤	kouhan
U+35A5	㖥	kouqun
U+35A6	㖦	koudong
U+35A7	㖧	kouhun
U+35A8	㖨	koulu
U+35A9	㖩	kouqu
U+35AA	㖪	kouhuo
U+35AB	㖫	kouling
U+35AC	㖬	kouyou
U+35AD	㖭	koutian
U+35AE	㖮	koulun
U+35AF	㖯	tongchi
U+35B0	㖰	chitong
U+35B1	㖱	yekou
U+35B2	㖲	ruchi
U+35B3	㖳	ruchi
U+35B4	㖴	kouwu
U+35B5	㖵	kouju
U+35B6	㖶	koutu
U+35B7	㖷	koushi
U+35B8	㖸	kounue
U+35B9	㖹	koupen
U+35BA	㖺	kouchun
U+35BB	㖻	kourou
U+35BC	㖼	koumou
U+35BD	㖽	kouye
U+35BE	㖾	kouni
U+35BF	㖿	kouye
U+35C0	㗀	kouyou
U+35C1	㗁	koue
U+35C2	㗂	kousheng
U+35C3	㗃	kouri
U+35C4	㗄	koufang
U+35C5	㗅	kouhu
U+35C6	㗆	kouge
U+35C7	㗇	koujia
U+35C8	㗈	kouyong
U+35C9	㗉	fengge
U+35CA	㗊	lvlv
U+35CB	㗋	kouhou
U+35CC	㗌	koushi
U+35CD	㗍	kouxiang
U+35CE	㗎	koujia
U+35CF	㗏	kouwai
U+35D0	㗐	koumin
U+35D1	㗑	koubai
U+35D2	㗒	kouai
U+35D3	㗓	kouzhui
U+35D4	㗔	kouqian
U+35D5	㗕	kougou
U+35D6	㗖	kouyao
U+35D7	㗗	lingbei
U+35D8	㗘	koufu
U+35D9	㗙	kouchu
U+35DA	㗚	kouli
U+35DB	㗛	kouxiao
U+35DC	㗜	kouxu
U+35DD	㗝	kougao
U+35DE	㗞	koupo
U+35DF	㗟	zhuchi
U+35E0	㗠	shichi
U+35E1	㗡	caochi
U+35E2	㗢	koudong
U+35E3	㗣	koudai
U+35E4	㗤	qikou
U+35E5	㗥	kouguo
U+35E6	㗦	kouliao
U+35E7	㗧	kouzhi
U+35E8	㗨	yikou
U+35E9	㗩	kouxi
U+35EA	㗪	kouzi
U+35EB	㗫	kouji
U+35EC	㗬	shangduo
U+35ED	㗭	kouxi
U+35EE	㗮	minggeng
U+35EF	㗯	zhechi
U+35F0	㗰	koucong
U+35F1	㗱	kouji
U+35F2	㗲	kouhua
U+35F3	㗳	kouda
U+35F4	㗴	kouyue
U+35F5	㗵	kouqian
U+35F6	㗶	koufa
U+35F7	㗷	kousai
U+35F8	㗸	kouyu
