U+300D6	𰃖	rujing
U+300D7	𰃗	ruyue
U+300D8	𰃘	rujian
U+300D9	𰃙	houru
U+300DA	𰃚	ruche
U+300DB	𰃛	douru
U+300DC	𰃜	ruye
U+300DD	𰃝	badian
U+300DE	𰃞	renliu
U+300DF	𰃟	baba
U+300E0	𰃠	gongnei
U+300E1	𰃡	bieba
U+300E2	𰃢	xixun
U+300E3	𰃣	liuhe
U+300E4	𰃤	bachou
U+300E5	𰃥	liuyao
U+300E6	𰃦	piekuang
U+300E7	𰃧	kuangren
U+300E8	𰃨	kuangyou
U+300E9	𰃩	kuangxi
U+300EA	𰃪	kuangzheng
U+300EB	𰃫	haikuang
U+300EC	𰃬	manjin
U+300ED	𰃭	kuangren
U+300EE	𰃮	xiaogai
U+300EF	𰃯	gaiping
U+300F0	𰃰	gaiyou
U+300F1	𰃱	gaizai
U+300F2	𰃲	gailin
U+300F3	𰃳	gaigan
U+300F4	𰃴	gaigan
U+300F5	𰃵	shuishi
U+300F6	𰃶	shuifeng
U+300F7	𰃷	shuicang
U+300F8	𰃸	shuihu
U+300F9	𰃹	shuili
U+300FA	𰃺	shuipi
U+300FB	𰃻	shuibi
U+300FC	𰃼	shuiyi
U+300FD	𰃽	shuixun
U+300FE	𰃾	shuiliang
U+300FF	𰃿	shuimai
U+30100	𰄀	shuila
U+30101	𰄁	shuican
U+30102	𰄂	shuizai
U+30103	𰄃	shuili
U+30104	𰄄	shuiqian
U+30105	𰄅	shuisuo
U+30106	𰄆	shuidang
U+30107	𰄇	lengni
U+30108	𰄈	shuixue
U+30109	𰄉	chongyong
U+3010A	𰄊	shuixi
U+3010B	𰄋	chongdong
U+3010C	𰄌	shuixi
U+3010D	𰄍	shuixing
U+3010E	𰄎	jingxiao
U+3010F	𰄏	shuilu
U+30110	𰄐	jilun
U+30111	𰄑	ruao
U+30112	𰄒	aoyu
U+30113	𰄓	tudong
U+30114	𰄔	chuchu
U+30115	𰄕	chucun
U+30116	𰄖	dutu
U+30117	𰄗	tue
U+30118	𰄘	chuer
U+30119	𰄙	badao
U+3011A	𰄚	diaodao
U+3011B	𰄛	daoshao
U+3011C	𰄜	xindao
U+3011D	𰄝	yangdao
U+3011E	𰄞	zhuandao
U+3011F	𰄟	budao
U+30120	𰄠	yundao
U+30121	𰄡	daowu
U+30122	𰄢	wendao
U+30123	𰄣	beidao
U+30124	𰄤	daobao
U+30125	𰄥	renwen
U+30126	𰄦	lidao
U+30127	𰄧	daolie
U+30128	𰄨	dadao
U+30129	𰄩	zidao
U+3012A	𰄪	shadao
U+3012B	𰄫	daoxiang
U+3012C	𰄬	dadao
U+3012D	𰄭	lidao
U+3012E	𰄮	daoqiu
U+3012F	𰄯	laidao
U+30130	𰄰	tingdao
U+30131	𰄱	fenben
U+30132	𰄲	chushao
U+30133	𰄳	tandao
U+30134	𰄴	yandao
U+30135	𰄵	chadao
U+30136	𰄶	daocan
U+30137	𰄷	daokuo
U+30138	𰄸	daoze
U+30139	𰄹	zedao
U+3013A	𰄺	didao
U+3013B	𰄻	liandao
U+3013C	𰄼	chadan
U+3013D	𰄽	duandao
U+3013E	𰄾	fudao
