U+2A7C6	𪟆	yudao
U+2A7C7	𪟇	baidao
U+2A7C8	𪟈	zhedao
U+2A7C9	𪟉	kuadao
U+2A7CA	𪟊	baifen
U+2A7CB	𪟋	gedao
U+2A7CC	𪟌	jidao
U+2A7CD	𪟍	lidao
U+2A7CE	𪟎	jiandao
U+2A7CF	𪟏	guaidao
U+2A7D0	𪟐	fenzheng
U+2A7D1	𪟑	fangfen
U+2A7D2	𪟒	zudao
U+2A7D3	𪟓	daokun
U+2A7D4	𪟔	koudao
U+2A7D5	𪟕	jidao
U+2A7D6	𪟖	jindao
U+2A7D7	𪟗	jiading
U+2A7D8	𪟘	qiuli
U+2A7D9	𪟙	genli
U+2A7DA	𪟚	mingli
U+2A7DB	𪟛	shuili
U+2A7DC	𪟜	shali
U+2A7DD	𪟝	zeli
U+2A7DE	𪟞	nancai
U+2A7DF	𪟟	mianli
U+2A7E0	𪟠	yinli
U+2A7E1	𪟡	nanke
U+2A7E2	𪟢	yili
U+2A7E3	𪟣	kouli
U+2A7E4	𪟤	nongnan
U+2A7E5	𪟥	huali
U+2A7E6	𪟦	nanzhui
U+2A7E7	𪟧	nannan
U+2A7E8	𪟨	yibi
U+2A7E9	𪟩	bitian
U+2A7EA	𪟪	beibu
U+2A7EB	𪟫	jiewang
U+2A7EC	𪟬	kuangyue
U+2A7ED	𪟭	kuangju
U+2A7EE	𪟮	quyang
U+2A7EF	𪟯	kuangli
U+2A7F0	𪟰	kuangge
U+2A7F1	𪟱	kuangxi
U+2A7F2	𪟲	kuanggong
U+2A7F3	𪟳	wuge
U+2A7F4	𪟴	shiqi
U+2A7F5	𪟵	zhuowan
U+2A7F6	𪟶	banshang
U+2A7F7	𪟷	zhuomou
U+2A7F8	𪟸	banpang
U+2A7F9	𪟹	suoling
U+2A7FA	𪟺	zhuoyu
U+2A7FB	𪟻	zhuishi
U+2A7FC	𪟼	zuxun
U+2A7FD	𪟽	buliao
U+2A7FE	𪟾	weibu
U+2A7FF	𪟿	zhuobu
U+2A800	𪠀	busheng
U+2A801	𪠁	heer
U+2A802	𪠂	youji
U+2A803	𪠃	changma
U+2A804	𪠄	changdian
U+2A805	𪠅	changji
U+2A806	𪠆	changbing
U+2A807	𪠇	changchi
U+2A808	𪠈	changyi
U+2A809	𪠉	changge
U+2A80A	𪠊	changda
U+2A80B	𪠋	changzhi
U+2A80C	𪠌	changqing
U+2A80D	𪠍	changchang
U+2A80E	𪠎	changxin
U+2A80F	𪠏	yanpi
U+2A810	𪠐	changjia
U+2A811	𪠑	changfu
U+2A812	𪠒	changni
U+2A813	𪠓	changhuang
U+2A814	𪠔	changshu
U+2A815	𪠕	changwei
U+2A816	𪠖	changpu
U+2A817	𪠗	houtai
U+2A818	𪠘	changjie
U+2A819	𪠙	changyou
U+2A81A	𪠚	changtian
U+2A81B	𪠛	changgan
U+2A81C	𪠜	sipei
U+2A81D	𪠝	quni
U+2A81E	𪠞	duoqu
U+2A81F	𪠟	canyin
U+2A820	𪠠	yihai
U+2A821	𪠡	canliang
U+2A822	𪠢	quguang
U+2A823	𪠣	chayou
U+2A824	𪠤	daoyou
U+2A825	𪠥	youyue
U+2A826	𪠦	changyou
U+2A827	𪠧	xiyou
U+2A828	𪠨	jiuyou
U+2A829	𪠩	sheyou
U+2A82A	𪠪	yiyou
U+2A82B	𪠫	guanfan
U+2A82C	𪠬	jiyou
U+2A82D	𪠭	fanzu
U+2A82E	𪠮	rongyou
U+2A82F	𪠯	quyou
U+2A830	𪠰	zhuodao
U+2A831	𪠱	qujie
U+2A832	𪠲	kouyou
U+2A833	𪠳	kouche
U+2A834	𪠴	kouren
U+2A835	𪠵	koulun
U+2A836	𪠶	koutu
