U+2B8E2	𫣢	renman
U+2B8E3	𫣣	renai
U+2B8E4	𫣤	renwei
U+2B8E5	𫣥	rendi
U+2B8E6	𫣦	renting
U+2B8E7	𫣧	renzhi
U+2B8E8	𫣨	rending
U+2B8E9	𫣩	renxin
U+2B8EA	𫣪	pianshao
U+2B8EB	𫣫	renshu
U+2B8EC	𫣬	renshi
U+2B8ED	𫣭	daiyi
U+2B8EE	𫣮	yushou
U+2B8EF	𫣯	baoli
U+2B8F0	𫣰	shenyuan
U+2B8F1	𫣱	pianfa
U+2B8F2	𫣲	renbei
U+2B8F3	𫣳	renchen
U+2B8F4	𫣴	renxian
U+2B8F5	𫣵	sizhen
U+2B8F6	𫣶	renkao
U+2B8F7	𫣷	renkuan
U+2B8F8	𫣸	sengshi
U+2B8F9	𫣹	heqiao
U+2B8FA	𫣺	qianzheng
U+2B8FB	𫣻	renlai
U+2B8FC	𫣼	renlin
U+2B8FD	𫣽	hekai
U+2B8FE	𫣾	renjiao
U+2B8FF	𫣿	maixin
U+2B900	𫤀	renbei
U+2B901	𫤁	tangzhi
U+2B902	𫤂	renxing
U+2B903	𫤃	renbi
U+2B904	𫤄	shitui
U+2B905	𫤅	rensun
U+2B906	𫤆	renqin
U+2B907	𫤇	renhuan
U+2B908	𫤈	sutui
U+2B909	𫤉	qinglv
U+2B90A	𫤊	furen
U+2B90B	𫤋	yuyang
U+2B90C	𫤌	rengan
U+2B90D	𫤍	quanlun
U+2B90E	𫤎	qingzheng
U+2B90F	𫤏	qingying
U+2B910	𫤐	renqian
U+2B911	𫤑	pianzhi
U+2B912	𫤒	qingrong
U+2B913	𫤓	qingtui
U+2B914	𫤔	renying
U+2B915	𫤕	qingpiao
U+2B916	𫤖	renyan
U+2B917	𫤗	jiuwu
U+2B918	𫤘	pieer
U+2B919	𫤙	yuanta
U+2B91A	𫤚	guangling
U+2B91B	𫤛	duifeng
U+2B91C	𫤜	xiongdi
U+2B91D	𫤝	youxiong
U+2B91E	𫤞	yuanshou
U+2B91F	𫤟	xionghuang
U+2B920	𫤠	xiankun
U+2B921	𫤡	guanglei
U+2B922	𫤢	xianchan
U+2B923	𫤣	yaoji
U+2B924	𫤤	guangchuang
U+2B925	𫤥	guangzhui
U+2B926	𫤦	guangyao
U+2B927	𫤧	gongxiong
U+2B928	𫤨	guanghua
U+2B929	𫤩	neixi
U+2B92A	𫤪	quanquan
U+2B92B	𫤫	bamian
U+2B92C	𫤬	badian
U+2B92D	𫤭	pieba
U+2B92E	𫤮	bashu
U+2B92F	𫤯	canba
U+2B930	𫤰	yuba
U+2B931	𫤱	qixun
U+2B932	𫤲	babi
U+2B933	𫤳	bamo
U+2B934	𫤴	qizhang
U+2B935	𫤵	pianba
U+2B936	𫤶	yinba
U+2B937	𫤷	gangqu
U+2B938	𫤸	gaijian
U+2B939	𫤹	gaichen
U+2B93A	𫤺	gaihan
U+2B93B	𫤻	gaihuan
U+2B93C	𫤼	gaijue
U+2B93D	𫤽	gaigong
U+2B93E	𫤾	shuiyi
U+2B93F	𫤿	shuiyu
U+2B940	𫥀	shuifu
U+2B941	𫥁	shuijin
U+2B942	𫥂	shuiyue
U+2B943	𫥃	shuiyin
U+2B944	𫥄	shuizhan
U+2B945	𫥅	shuiyang
U+2B946	𫥆	shuiyong
U+2B947	𫥇	shuishui
U+2B948	𫥈	shuizhao
U+2B949	𫥉	shuizhi
U+2B94A	𫥊	shuiwei
U+2B94B	𫥋	shuigen
U+2B94C	𫥌	shuinong
U+2B94D	𫥍	shuiyan
U+2B94E	𫥎	miandian
U+2B94F	𫥏	shuimei
U+2B950	𫥐	shuide
U+2B951	𫥑	shuila
U+2B952	𫥒	shuida
U+2B953	𫥓	shuiyu
U+2B954	𫥔	shuiqin
U+2B955	𫥕	lenggan
U+2B956	𫥖	lengwai
U+2B957	𫥗	shuiqian
U+2B958	𫥘	lengji
U+2B959	𫥙	shuicun
U+2B95A	𫥚	shuican
U+2B95B	𫥛	shuizao
U+2B95C	𫥜	lengzu
U+2B95D	𫥝	shuiqin
U+2B95E	𫥞	jiza
U+2B95F	𫥟	jinv
U+2B960	𫥠	fanchi
U+2B961	𫥡	biji
U+2B962	𫥢	tuji
U+2B963	𫥣	jianfan
U+2B964	𫥤	chubing
U+2B965	𫥥	naojin
U+2B966	𫥦	youxiong
U+2B967	𫥧	chucao
U+2B968	𫥨	sichu
U+2B969	𫥩	naowu
U+2B96A	𫥪	naoba
U+2B96B	𫥫	wuchu
U+2B96C	𫥬	chucao
U+2B96D	𫥭	manchu
U+2B96E	𫥮	naoxing
U+2B96F	𫥯	chiwei
U+2B970	𫥰	daoda
U+2B971	𫥱	daozi
U+2B972	𫥲	taidao
U+2B973	𫥳	lidao
U+2B974	𫥴	badao
U+2B975	𫥵	lidao
U+2B976	𫥶	pingdao
U+2B977	𫥷	tudao
U+2B978	𫥸	daozhan
U+2B979	𫥹	dadao
U+2B97A	𫥺	yedao
U+2B97B	𫥻	shuling
U+2B97C	𫥼	yadao
U+2B97D	𫥽	qiaodao
U+2B97E	𫥾	midao
U+2B97F	𫥿	jiaodao
U+2B980	𫦀	shidao
U+2B981	𫦁	suodao
U+2B982	𫦂	zhuandao
U+2B983	𫦃	bendao
U+2B984	𫦄	yidao
U+2B985	𫦅	sudao
U+2B986	𫦆	zudao
U+2B987	𫦇	fenmian
U+2B988	𫦈	zuren
U+2B989	𫦉	loudao
U+2B98A	𫦊	yindao
U+2B98B	𫦋	jiangdao
U+2B98C	𫦌	juedao
U+2B98D	𫦍	baidao
U+2B98E	𫦎	suodao
U+2B98F	𫦏	nadao
U+2B990	𫦐	xuedao
U+2B991	𫦑	gaodao
U+2B992	𫦒	didao
U+2B993	𫦓	zudao
U+2B994	𫦔	jiangdao
U+2B995	𫦕	caodao
U+2B996	𫦖	pudao
U+2B997	𫦗	duodao
U+2B998	𫦘	daodao
U+2B999	𫦙	qiaodao
U+2B99A	𫦚	caodao
U+2B99B	𫦛	zhandao
U+2B99C	𫦜	lindao
U+2B99D	𫦝	zhudao
U+2B99E	𫦞	longdao
U+2B99F	𫦟	congdao
U+2B9A0	𫦠	caodao
U+2B9A1	𫦡	jingdao
U+2B9A2	𫦢	suige
U+2B9A3	𫦣	biedao
U+2B9A4	𫦤	liheng
U+2B9A5	𫦥	jiaheng
U+2B9A6	𫦦	zuoli
U+2B9A7	𫦧	lifa
U+2B9A8	𫦨	mili
U+2B9A9	𫦩	liangli
U+2B9AA	𫦪	yuanli
U+2B9AB	𫦫	lishi
U+2B9AC	𫦬	jiuzhu
U+2B9AD	𫦭	liliang
U+2B9AE	𫦮	qili
U+2B9AF	𫦯	linli
U+2B9B0	𫦰	laoli
U+2B9B1	𫦱	rili
U+2B9B2	𫦲	kouli
U+2B9B3	𫦳	jueli
U+2B9B4	𫦴	huangli
U+2B9B5	𫦵	ningzhu
